tiporesiduo;bairro;endereco;complemento;observacao;latitude;longitude
Materiais Recicláveis;;R. da Aurora, s/n - Santo Amaro, Recife - PE, 50040-090, Brasil;;PEV;-8.054841;-34.876912
Materiais Recicláveis;;Av. Rio Branco, 261- Recife, PE, 50030-320;;PEV;-8.062349;-34.873686
Materiais Recicláveis;;Av. Alfredo Lisboa, 11 - Bairro do Recife, Recife - PE, 50030-150, Brasil;;PEV;-8.063356;-34.871452
Materiais Recicláveis;;Praça da Independência - Santo Antônio, Recife - PE, 50010-360;;PEV;-8.064063;-34.87838
Materiais Recicláveis;;R. Princesa Isabel, 405 - Santo Amaro, Recife - PE, 50050-450, Brasil;;PEV;-8.058049;-34.882241
Materiais Recicláveis;;Praça Miguel de Cervantes - Ilha do Leite, Recife - PE, 50030-230;;PEV;-8.066343;-34.893374
Materiais Recicláveis;;Av. Lins Petit, 3 - Boa Vista, Recife - PE, 50070-230, Brasil;;PEV;-8.060482;-34.894897
Materiais Recicláveis;;Cais do Apolo, 905 - Recife, PE, 50030-230, Brasil;;PEV;-8.054718;-34.872298
Materiais Recicláveis;;Av. da Saudade, 28 - Boa Vista, Recife - PE, 50100-200, Brasil;;PEV;-8.050546;-34.883392
Materiais Recicláveis;;Praça Parque Amorim - Capunga - Boa Vista, Recife - PE, 52021-170, Brasil;;PEV;-8.051907;-34.895045
Materiais Recicláveis;;Praça do Arsenal da Marinha, 35 Sala 803 - Recife, PE, 50030-360, Brasil;;PEV;-8.061433;-34.871067
Materiais Recicláveis;;Av. Rio Branco, 155 A - Recife, PE, 50030-310, Brasil;;PEV;-8.062639;-34.872884
Materiais Recicláveis;;R. João Fernandes Viêira, 160 - Soledade, Recife - PE, 50050-215, Brasil;;PEV;-8.054543;-34.89133
Materiais Recicláveis;;R. Carlos Fernandes, 264 - Hipódromo, Recife - PE, 52041-710, Brasil;;PEV;-8.032606;-34.886425
Materiais Recicláveis;;Av. Gov. Agamenon Magalhães, 1956 - Santo Amaro, Recife - PE, 52021-170, Brasil;;PEV;-8.039209;-34.878273
Materiais Recicláveis;;Av. Prof. José dos Anjos, 36 - Peixinhos, Recife - PE, 53220-000, Brasil;;PEV;-8.020321;-34.874485
Materiais Recicláveis;;R. Amaro Coutinho, 675 - Encruzilhada, Recife - PE, 52041-305, Brasil;;PEV;-8.032911;-34.896082
Materiais Recicláveis;;Av. Dezessete de Agosto, 1386 - Casa Forte, Recife - PE, 52060-485, Brasil;;PEV;-8.035757;-34.920196
Materiais Recicláveis;;Av. Dezessete de Agosto, 2702 - Monteiro, Recife - PE, 52061-105, Brasil;;PEV;-8.027942;-34.92823
Materiais Recicláveis;;Estr. Real do Poço, 494 - Poço da Panela, Recife - PE, 52061-200, Brasil;;PEV;-8.036449;-34.924747
Materiais Recicláveis;;Estrada do Morro da Conceição, 442 - Morro da Conceição, Recife - PE, 52280-030, Brasil;;PEV;-8.019322;-34.914722
Materiais Recicláveis;;Av. Rui Barbosa, 1899 - Graças, Recife - PE, 52050-650, Brasil;;PEV;-8.037776;-34.905772
Materiais Recicláveis;;Av. Dezessete de Agosto, 177 - Parnamirim, Recife - PE, 52060-590, Brasil;;PEV;-8.03418;-34.911283
Materiais Recicláveis;;R. do Futuro, 1100 - Jaqueira, Recife - PE, 52050-010, Brasil;;PEV;-8.036243;-34.903834
Materiais Recicláveis;;Rua Senador Alberto Paiva, 71-115 - Graças, Recife - PE, 52050-260, Brasil - Graças, Recife - PE, 52050-250, Brasil;;PEV;-8.043843;-34.901419
Materiais Recicláveis;;Rua Hoel Sette, 109 - Jaqueira, Recife - PE, 52050-090, Brasil;;PEV;-8.036238;-34.902906
